Périodes,01,02,03,04,05,06,07,08,09,10,11,12,Année
1961,0.7,5.1,7.1,11.4,11.2,16.0,15.3,16.6,17.5,10.9,4.0,1.4,9.8
1962,2.4,1.2,1.3,8.4,10.0,15.7,16.0,17.0,12.9,9.6,2.9,-1.5,8.0
1963,-5.5,-3.6,4.1,9.8,12.0,15.8,18.5,15.4,14.1,8.6,7.8,-2.6,7.9
1964,-1.4,3.2,2.8,9.3,15.0,17.0,19.4,17.0,14.6,7.6,5.5,0.6,9.2
1965,1.6,-1.0,4.9,7.4,12.5,15.8,15.0,15.9,12.4,9.2,2.8,3.2,8.3
1966,-1.2,6.3,4.5,9.7,13.3,17.0,15.6,15.7,14.7,11.5,2.3,2.5,9.3
1967,1.4,3.4,5.7,7.6,12.7,15.3,19.6,16.8,13.8,11.1,3.8,0.5,9.3
1968,0.9,2.0,5.5,9.8,10.9,15.1,16.6,16.0,13.4,10.9,3.5,-0.7,8.7
1969,2.7,-0.9,4.2,8.0,13.2,15.0,19.3,16.9,14.8,11.0,5.1,-2.3,8.9
1970,0.5,0.6,2.2,5.9,12.4,18.0,15.9,17.8,14.8,9.6,6.4,0.6,8.7
1971,0.1,2.1,2.1,10.4,15.2,14.4,19.3,17.8,13.9,10.0,3.6,2.9,9.3
1972,-0.3,3.8,6.7,6.5,11.5,14.1,17.9,15.9,11.6,8.4,4.7,1.9,8.6
1973,1.0,1.3,5.1,6.2,13.3,17.0,17.6,19.6,15.4,8.8,4.1,0.9,9.2
1974,4.4,3.7,6.5,9.9,11.9,14.9,15.6,17.4,13.1,5.3,5.2,5.1,9.4
1975,4.9,3.4,3.6,7.6,12.1,15.6,18.9,20.3,15.6,7.8,4.5,1.4,9.6
1976,2.4,2.1,3.4,8.8,15.1,19.32,20.02,17.72,12.92,9.82,6.0,0.1,9.8
1977,2.3,4.9,7.8,6.6,12.3,15.8,17.4,16.2,12.3,10.7,6.0,3.6,9.7
1978,2.1,0.6,6.1,7.2,12.2,14.5,15.8,14.9,12.5,9.3,3.6,2.9,8.5
1979,-3.9,1.2,5.3,7.2,11.7,16.7,17.0,15.1,13.4,10.2,4.6,4.9,8.6
1980,-0.2,4.7,4.8,6.8,11.6,14.6,15.3,16.8,14.2,8.5,3.6,1.4,8.5
1981,1.0,0.4,8.4,8.7,12.8,15.2,16.8,16.7,14.1,8.6,5.6,0.9,9.1
1982,-1.1,1.6,4.9,7.3,12.9,16.7,19.4,17.1,16.1,9.9,7.0,3.2,9.6
1983,4.4,0.3,5.3,8.4,10.6,16.9,21.5,19.1,13.7,9.7,4.0,2.5,9.7
1984,2.6,1.6,3.3,7.6,10.2,14.4,16.7,17.1,13.0,10.6,6.6,2.6,8.9
1985,-3.6,-0.8,3.8,8.7,13.4,14.0,18.0,15.7,14.1,8.8,1.7,4.3,8.2
1986,1.9,-3.9,3.9,6.1,13.7,17.2,17.0,15.6,10.7,9.9,5.8,2.6,8.4
1987,-4.3,0.6,1.3,9.3,9.7,13.9,16.9,15.9,14.9,9.8,4.7,2.4,7.9
1988,4.0,2.1,4.0,8.8,14.1,15.5,16.2,17.3,13.0,10.3,3.5,5.8,9.6
1989,3.2,2.8,7.8,7.2,15.0,15.7,18.3,18.0,14.4,10.4,3.7,4.1,10.1
