annee,pluie
1900,808.9743589743593
1901,739.7435897435901
1902,774.3589743589746
1903,1279.4871794871801
1904,767.9487179487182
1905,734.615384615385
1906,797.4358974358977
1907,655.1282051282053
1908,775.6410256410259
1909,780.769230769231
1910,957.6923076923081
1911,651.2820512820515
1912,733.3333333333337
1913,744.8717948717951
1914,865.3846153846159
1915,778.2051282051286
1916,1001.2820512820517
1917,839.7435897435901
1918,751.2820512820517
1919,826.9230769230771
1920,710.2564102564104
1921,402.56410256410254
1922,1020.512820512821
1923,969.2307692307697
1924,852.564102564103
1925,971.794871794872
1926,841.0256410256413
1927,806.4102564102568
1928,774.3589743589746
1929,679.4871794871797
1930,982.0512820512824
1931,833.3333333333337
1932,756.4102564102568
1933,523.0769230769231
1934,624.3589743589745
1935,829.4871794871797
1936,812.8205128205132
1937,758.9743589743593
1938,733.3333333333337
1939,833.3333333333337
1940,766.666666666667
1941,703.846153846154
1942,614.1025641025644
1943,607.6923076923078
1944,724.3589743589746
1945,543.5897435897436
1946,721.794871794872
1947,707.6923076923078
1948,753.846153846154
1949,647.4358974358977
1950,906.4102564102568
1951,803.8461538461543
1952,921.7948717948723
1953,519.2307692307693
1954,720.5128205128208
1955,682.0512820512822
1956,776.9230769230771
1957,706.4102564102566
1958,926.9230769230774
1959,552.5641025641028
1960,756.4102564102568
1961,817.9487179487182
1962,583.3333333333335
1963,593.5897435897436
1964,525.6410256410257
1965,961.5384615384619
1966,864.1025641025644
1967,852.564102564103
1968,807.6923076923081
1969,651.2820512820515
1970,848.717948717949
1971,616.6666666666667
1972,693.5897435897439
1973,553.846153846154
1974,869.2307692307695
1975,598.7179487179488
1976,538.4615384615386
1977,833.3333333333337
1978,757.6923076923078
1979,857.6923076923081
1980,794.8717948717951
1981,944.8717948717954
1982,802.5641025641028
1983,771.794871794872
1984,902.564102564103
1985,626.9230769230771
1986,891.0256410256413
1987,883.3333333333337
1988,1087.1794871794878
